Voter_Id,Election_Year,State,Sex,Age_Range,Candidate_Supported,perceptions_of_electoral_integrity_index,State_Electoral_Integrity,National_Electoral_Integrity,Laws_Discriminated,Laws_Favored_Incumbent,Laws_Restricted_Citizen_Rights,Electoral_Laws_Index,Election_Managed_Well,Voting_Information_Available,Election_Officials_Fair,Election_Followed_Law,Election_Procedures_Index,Boundaries_Discriminated,Boundaries_Favored_Incumbent,Boundaries_Impartial,Voting_District_Boundaries_Index,Citizens_Not_Found_in_Register,Register_Inaccurate,Ineligible_Voters_Registered,Voter_Registration_Index,Opposition_Prevented,Women_Provided_Opportunity,Leaders_Selected_Candidates,Campaign_Rallies_Restricted,Party/Candidate_Registration_Index,Newspapers_Balanced,Television_Favored_Incumbent,Media_Access_Fair,Media_Coverage_Fair,Social_Media_Exposed_Fraud,Media_Coverage_Index,Subsidy_Access_Fair,Donation_Access_Fair,Campaign_Accounts_Transparent,Elections_Bought_by_Rich,Resources_Improperly_Used,Campaign_Finance_Index,Voters_Threatened_with_Violence,Fradulent_Votes_Cast,Voting_Process_Easy,Choice_of_Candidates,Postal_Ballots_Available,Disabled_Provided_Access,Expatriates_Able_to_Vote,Internet_Ballots_Available,Voting_Process_Index,Ballot_Boxes_Secure,Results_Announced_Without_Delay,Vote_Count_Fair,International_Monitors_Restricted,Domestic_Monitors_Restricted,Vote_Count_Index,Results_Challenged,Protests_Peaceful,Protests_Violent,Dispute_Resolved_in_Courts,Election_Results_Index,Authorities_Impartial,Information_Distributed,Authorities_Scrutinized,Authorities_Performed_Well,Electoral_Authorities_Index,Election_Rigged,Deadlines_Restrictive,Voters_Waited,Voters_Intimidated,Multiple_Ballots_Cast,Machines_Accurate,Records_Secure,Votes_Counted_Quickly,Outcome_Reflected_Popular_Will
CLI-2026-04,2016,Illinois,Male,30-39,Clinton,61.17,8,7,Agree,Neither Agree Nor Disagree,Disagree,50,Agree,Agree,Agree,Agree,75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Agree,Disagree,Disagree,58.33,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Disagree,Agree,Strongly Agree,Disagree,Disagree,40,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,5,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,84.38,Agree,Strongly Agree,Agree,Disagree,Disagree,80,Disagree,Agree,Strongly Disagree,Don't Know,68.13,Agree,Agree,Agree,Agree,75,Strongly Disagree,Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Strongly Agree,Disagree
CLI-2026-04,2016,Illinois,Male,70-79,Clinton,75,10,8,Neither Agree Nor Disagree,Agree,Agree,33.33,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Agree,Strongly Agree,Disagree,16.67,Agree,Disagree,Strongly Disagree,66.67,Strongly Disagree,Agree,Disagree,Strongly Disagree,85,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,80,Not Applicable,Agree,Agree,Agree,Disagree,60,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Strongly Disagree,Agree,Disagree,Strongly Agree,75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree
CLI-2026-04,2016,Illinois,Female,40-49,Clinton,56.76,9,7,Agree,Agree,Neither Agree Nor Disagree,33.33,Strongly Agree,Agree,Agree,Agree,81.25,Agree,Agree,Disagree,25,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Don't Know,55.83,Don't Know,Disagree,Neither Agree Nor Disagree,Don't Know,50,Disagree,Don't Know,Disagree,Neither Agree Nor Disagree,Don't Know,38.75,Don't Know,Disagree,Agree,Strongly Agree,Don't Know,42,Don't Know,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,68.28,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Disagree,87.75,Disagree,Agree,Agree,Don't Know,50,Agree,Agree,Neither Agree Nor Disagree,Agree,68.75,Strongly Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree
N/A,2016,Illinois,Male,40-49,,60.31,7,5,Strongly Agree,Strongly Agree,Strongly Disagree,33.33,Disagree,Disagree,Strongly Agree,Strongly Agree,62.5,Strongly Agree,Strongly Agree,Strongly Disagree,0,Don't Know,Don't Know,Don't Know,54.58,Don't Know,Strongly Agree,Agree,Don't Know,75.5,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Don't Know,41.5,Disagree,Strongly Disagree,Disagree,Disagree,Don't Know,37.75,Don't Know,Don't Know,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Don't Know,76.09,Don't Know,Strongly Agree,Strongly Agree,Not Applicable,Don't Know,89.5,Strongly Disagree,Agree,Disagree,Not Applicable,70.31,Strongly Agree,Agree,Don't Know,Agree,82.5,Strongly Disagree,Strongly Disagree,Agree,Don't Know,Don't Know,Agree,Agree,Strongly Agree,Strongly Agree
CLI-2026-04,2016,Illinois,Female,40-49,Clinton,50.28,5,5,Strongly Agree,Strongly Agree,Strongly Agree,0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,56.25,Strongly Agree,Strongly Agree,Strongly Disagree,0,Not Applicable,Not Applicable,Not Applicable,61.67,Neither Agree Nor Disagree,Agree,Don't Know,Not Applicable,69.5,Neither Agree Nor Disagree,Disagree,Don't Know,Neither Agree Nor Disagree,Neither Agree Nor Disagree,55.5,Don't Know,Disagree,Strongly Disagree,Strongly Agree,Don't Know,27.25,Don't Know,Don't Know,Neither Agree Nor Disagree,Agree,Don't Know,Disagree,Don't Know,Strongly Disagree,58.28,Don't Know,Neither Agree Nor Disagree,Don't Know,Not Applicable,Not Applicable,73.75,Disagree,Agree,Disagree,Don't Know,59.06,Disagree,Don't Know,Don't Know,Neither Agree Nor Disagree,55.31,Disagree,Agree,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Agree,Strongly Disagree
N/A,2016,Illinois,Male,70-79,,54.87,9,8,Strongly Agree,Neither Agree Nor Disagree,Disagree,41.67,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Strongly Agree,Strongly Agree,Disagree,8.33,Don't Know,Don't Know,Don't Know,53.33,Agree,Don't Know,Strongly Agree,Don't Know,55.5,Strongly Disagree,Don't Know,Strongly Disagree,Disagree,Don't Know,25.5,Don't Know,Don't Know,Strongly Disagree,Strongly Agree,Don't Know,31.5,Don't Know,Don't Know,Strongly Agree,Disagree,Strongly Agree,Don't Know,Don't Know,Don't Know,70,Agree,Agree,Don't Know,Don't Know,Disagree,73.25,Don't Know,Agree,Disagree,Don't Know,53.75,Agree,Agree,Agree,Agree,75,Disagree,Disagree,Disagree,Disagree,Don't Know,Agree,Agree,Agree,Don't Know
CLI-2026-04,2016,Illinois,Female,40-49,Clinton,61.48,10,3,Strongly Agree,Agree,Neither Agree Nor Disagree,25,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Agree,Agree,Disagree,25,Don't Know,Don't Know,Strongly Disagree,61.25,Strongly Disagree,Neither Agree Nor Disagree,Don't Know,Strongly Disagree,70.5,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,25,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,40,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,78.13,Don't Know,Strongly Agree,Agree,Don't Know,Don't Know,81.5,Neither Agree Nor Disagree,Strongly Agree,Disagree,Don't Know,48.44,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Agree,Agree,Strongly Agree,Don't Know,Strongly Disagree,Agree,Don't Know,Disagree,Strongly Disagree
CLI-2026-04,2016,Illinois,Female,30-39,Clinton,65.61,9,4,Disagree,Strongly Agree,Neither Agree Nor Disagree,41.67,Agree,Agree,Agree,Agree,75,Agree,Agree,Disagree,25,Neither Agree Nor Disagree,Disagree,Disagree,66.67,Disagree,Agree,Strongly Disagree,Disagree,80,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,30,Disagree,Agree,Disagree,Agree,Strongly Disagree,50,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,81.25,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Don't Know,88,Disagree,Strongly Agree,Disagree,Agree,56.25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Neither Agree Nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree
CLI-2026-04,2016,Illinois,Male,50-59,Clinton,70.54,9,8,Disagree,Neither Agree Nor Disagree,Disagree,66.67,Agree,Agree,Agree,Agree,75,Disagree,Disagree,Agree,75,Disagree,Disagree,Disagree,75,Disagree,Agree,Strongly Disagree,Strongly Disagree,80,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,60,Not Applicable,Agree,Disagree,Neither Agree Nor Disagree,Disagree,56,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,71.88,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,80,Disagree,Agree,Disagree,Not Applicable,62.81,Agree,Agree,Agree,Agree,75,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree
CLI-2026-04,2016,Illinois,Female,70-79,Clinton,55.15,8,5,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,16.67,Agree,Agree,Agree,Agree,75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Don't Know,Don't Know,Don't Know,60.42,Agree,Agree,Neither Agree Nor Disagree,Strongly Disagree,55,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Don't Know,48.25,Strongly Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Don't Know,47,Agree,Don't Know,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,59.38,Don't Know,Agree,Don't Know,Don't Know,Disagree,74,Disagree,Neither Agree Nor Disagree,Disagree,Agree,68.75,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,75,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Don't Know,Strongly Agree,Strongly Agree
CLI-2026-04,2016,Illinois,Male,70-79,Clinton,57.17,7,4,Neither Agree Nor Disagree,Agree,Disagree,50,Agree,Agree,Agree,Agree,75,Agree,Agree,Strongly Disagree,16.67,Neither Agree Nor Disagree,Not Applicable,Not Applicable,67.08,Neither Agree Nor Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,60,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,40,Disagree,Disagree,Agree,Agree,Agree,35,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,68.75,Agree,Agree,Agree,Not Applicable,Disagree,75,Disagree,Agree,Disagree,Agree,62.5,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,62.5,Disagree,Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree
CLI-2026-04,2016,Illinois,Female,40-49,Clinton,52.58,6,6,Agree,Strongly Agree,Neither Agree Nor Disagree,25,Agree,Neither Agree Nor Disagree,Agree,Agree,68.75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Don't Know,Don't Know,Don't Know,59.17,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Don't Know,64.75,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,50,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,35,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Don't Know,54.84,Agree,Agree,Agree,Don't Know,Don't Know,75.75,Don't Know,Don't Know,Disagree,Agree,64.38,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,56.25,Disagree,Neither Agree Nor Disagree,Disagree,Don't Know,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree
N/A,2016,Illinois,Male,40-49,,68.37,9,9,Disagree,Neither Agree Nor Disagree,Disagree,66.67,Agree,Agree,Agree,Agree,75,Disagree,Agree,Disagree,41.67,Disagree,Disagree,Disagree,75,Disagree,Agree,Disagree,Disagree,75,Agree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,60,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,65,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,68.75,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,85,Disagree,Agree,Disagree,Agree,62.5,Agree,Agree,Neither Agree Nor Disagree,Agree,68.75,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree
CLI-2026-04,2016,Illinois,Male,50-59,Clinton,76.96,10,10,Disagree,Disagree,Strongly Disagree,83.33,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Disagree,Strongly Agree,Neither Agree Nor Disagree,41.67,Don't Know,Don't Know,Don't Know,55.83,Strongly Disagree,Agree,Disagree,Strongly Disagree,85,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,30,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Don't Know,90,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Don't Know,83.44,Strongly Agree,Strongly Agree,Don't Know,Don't Know,Strongly Disagree,92.25,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Agree,75,Strongly Agree,Strongly Agree,Agree,Strongly Agree,93.75,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
CLI-2026-04,2016,Illinois,Male,70-79,Clinton,66.79,9,8,Agree,Agree,Disagree,41.67,Agree,Agree,Agree,Strongly Agree,81.25,Strongly Agree,Strongly Agree,Strongly Disagree,0,Neither Agree Nor Disagree,Disagree,Disagree,66.67,Strongly Disagree,Agree,Disagree,Strongly Disagree,90,Agree,Disagree,Strongly Agree,Agree,Don't Know,73.5,Not Applicable,Agree,Disagree,Agree,Neither Agree Nor Disagree,46,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Not Applicable,Don't Know,Agree,Strongly Disagree,67.19,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Not Applicable,87.25,Strongly Disagree,Agree,Disagree,Not Applicable,69.06,Agree,Agree,Agree,Strongly Agree,81.25,Strongly Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree
CLI-2026-04,2016,Illinois,Male,60-69,Clinton,64.69,9,9,Strongly Agree,Agree,Strongly Agree,8.33,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Agree,Strongly Agree,Strongly Disagree,0,Disagree,Agree,Agree,41.67,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,85,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Don't Know,49,Not Applicable,Disagree,Agree,Strongly Agree,Disagree,45,Strongly Disagree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Disagree,Agree,Strongly Disagree,Agree,68.75,Agree,Agree,Strongly Agree,Strongly Agree,87.5,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree
CLI-2026-04,2016,Illinois,Female,40-49,Clinton,60.89,9,8,Strongly Agree,Strongly Agree,Disagree,25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Agree,Strongly Agree,Strongly Disagree,0,Disagree,Disagree,Disagree,75,Disagree,Neither Agree Nor Disagree,Agree,Don't Know,57,Disagree,Don't Know,Neither Agree Nor Disagree,Disagree,Don't Know,41,Disagree,Disagree,Disagree,Agree,Don't Know,30.25,Disagree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Strongly Agree,Don't Know,79.84,Don't Know,Strongly Agree,Agree,Don't Know,Strongly Agree,65.75,Strongly Disagree,Agree,Disagree,Agree,68.75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Disagree,Disagree,Don't Know,Don't Know,Disagree,Agree,Agree,Strongly Agree,Disagree
CLI-2026-04,2016,Illinois,Male,40-49,Clinton,49.11,6,4,Strongly Disagree,Strongly Agree,Strongly Agree,33.33,Neither Agree Nor Disagree,Disagree,Agree,Agree,56.25,Agree,Strongly Agree,Strongly Disagree,8.33,Don't Know,Don't Know,Don't Know,53.33,Agree,Disagree,Agree,Strongly Disagree,35,Disagree,Don't Know,Don't Know,Disagree,Don't Know,41.5,Disagree,Don't Know,Strongly Disagree,Strongly Agree,Agree,22.75,Agree,Don't Know,Agree,Agree,Agree,Don't Know,Agree,Strongly Disagree,60,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,85,Disagree,Strongly Agree,Disagree,Don't Know,59.06,Don't Know,Disagree,Don't Know,Agree,64.69,Disagree,Agree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Don't Know,Don't Know,Agree,Strongly Disagree
CLI-2026-04,2016,Illinois,Male,30-39,Clinton,68.52,9,9,Strongly Disagree,Strongly Disagree,Strongly Disagree,100,Disagree,Agree,Strongly Agree,Strongly Agree,75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Strongly Disagree,Strongly Disagree,Don't Know,86.67,Disagree,Agree,Disagree,Strongly Disagree,80,Disagree,Agree,Agree,Disagree,Strongly Disagree,30,Agree,Agree,Agree,Disagree,Agree,65,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,78.13,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Don't Know,92.25,Strongly Disagree,Strongly Agree,Strongly Disagree,Don't Know,71.56,Agree,Agree,Disagree,Agree,62.5,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
N/A,2016,Indiana,Male,20-29,,77.35,9,8,Agree,Neither Agree Nor Disagree,Agree,33.33,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Agree,Agree,Disagree,25,Don't Know,Disagree,Strongly Disagree,70,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,95,Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Not Applicable,70,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,75,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,78.13,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Disagree,96,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,81.25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Not Applicable,Agree
CLI-2026-04,2016,Indiana,Male,30-39,Clinton,58.65,7,8,Neither Agree Nor Disagree,Agree,Agree,33.33,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,41.67,Strongly Agree,Agree,Strongly Disagree,41.67,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,50,Not Applicable,Disagree,Disagree,Disagree,Don't Know,47.5,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,62.5,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Don't Know,88.5,Strongly Disagree,Agree,Strongly Disagree,Don't Know,73.44,Disagree,Disagree,Disagree,Disagree,25,Strongly Disagree,Agree,Agree,Don't Know,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
CLI-2026-04,2016,Indiana,Male,20-29,Clinton,69.34,8,6,Agree,Neither Agree Nor Disagree,Agree,33.33,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,87.5,Disagree,Neither Agree Nor Disagree,Agree,66.67,Disagree,Disagree,Strongly Disagree,83.33,Strongly Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,90,Agree,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,75,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,65,Disagree,Neither Agree Nor Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,59.38,Agree,Agree,Agree,Don't Know,Disagree,74.5,Disagree,Agree,Disagree,Agree,62.5,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,62.5,Neither Agree Nor Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree
CLI-2026-04,2016,Indiana,Male,30-39,Clinton,69.77,8,7,Disagree,Agree,Agree,41.67,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Agree,Strongly Agree,Disagree,16.67,Don't Know,Don't Know,Don't Know,52.5,Disagree,Agree,Strongly Disagree,Disagree,80,Agree,Don't Know,Strongly Agree,Disagree,Disagree,57.75,Agree,Agree,Agree,Disagree,Disagree,75,Don't Know,Disagree,Agree,Strongly Agree,Agree,Don't Know,Strongly Agree,Strongly Disagree,71.72,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Strongly Disagree,94.75,Disagree,Strongly Agree,Disagree,Agree,56.25,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,87.5,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree
CLI-2026-04,2016,Indiana,Female,30-39,Clinton,50.23,5,4,Agree,Agree,Agree,25,Disagree,Disagree,Don't Know,Don't Know,45.31,Agree,Neither Agree Nor Disagree,Disagree,33.33,Agree,Don't Know,Don't Know,49.58,Agree,Don't Know,Don't Know,Don't Know,58.25,Disagree,Agree,Don't Know,Disagree,Don't Know,33.5,Don't Know,Don't Know,Don't Know,Agree,Don't Know,45.5,Don't Know,Don't Know,Neither Agree Nor Disagree,Disagree,Agree,Don't Know,Agree,Disagree,57.5,Don't Know,Agree,Don't Know,Don't Know,Don't Know,70.75,Don't Know,Agree,Disagree,Don't Know,62.19,Don't Know,Disagree,Don't Know,Neither Agree Nor Disagree,51.88,Don't Know,Agree,Agree,Don't Know,Don't Know,Don't Know,Don't Know,Agree,Don't Know
CLI-2026-04,2016,Indiana,Male,70-79,Clinton,67.37,8,6,Disagree,Disagree,Agree,58.33,Agree,Disagree,Agree,Agree,62.5,Strongly Agree,Strongly Agree,Strongly Disagree,0,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,58.33,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,95,Disagree,Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,65,Neither Agree Nor Disagree,Agree,Agree,Disagree,Agree,60,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,81.25,Agree,Agree,Agree,Not Applicable,Neither Agree Nor Disagree,70.25,Disagree,Agree,Strongly Disagree,Agree,68.75,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,81.25,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
N/A,2016,Indiana,Male,70-79,,68.6,9,9,Disagree,Agree,Disagree,58.33,Agree,Agree,Agree,Agree,75,Agree,Agree,Disagree,25,Don't Know,Don't Know,Don't Know,47.92,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,95,Agree,Disagree,Agree,Agree,Don't Know,66,Agree,Agree,Not Applicable,Disagree,Not Applicable,65.25,Don't Know,Don't Know,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,72.03,Don't Know,Agree,Don't Know,Not Applicable,Don't Know,71,Disagree,Agree,Disagree,Not Applicable,61.25,Strongly Agree,Strongly Agree,Don't Know,Strongly Agree,90,Strongly Disagree,Agree,Don't Know,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree
CLI-2026-04,2016,Indiana,Male,80-89,Clinton,70.92,9,8,Disagree,Disagree,Strongly Disagree,83.33,Agree,Agree,Agree,Agree,75,Disagree,Disagree,Agree,75,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,58.33,Disagree,Agree,Disagree,Strongly Disagree,80,Agree,Disagree,Agree,Agree,Agree,75,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,60,Strongly Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,71.88,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,65,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,62.5,Agree,Agree,Agree,Agree,75,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree
CLI-2026-04,2016,Indiana,Female,40-49,Clinton,,3,,Agree,Disagree,Neither Agree Nor Disagree,50,Disagree,Disagree,Don't Know,Don't Know,,Agree,Don't Know,Disagree,,Don't Know,Don't Know,Don't Know,,Don't Know,Neither Agree Nor Disagree,Don't Know,Don't Know,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Don't Know,Don't Know,Don't Know,,Don't Know,Don't Know,Don't Know,Neither Agree Nor Disagree,Don't Know,,Don't Know,Don't Know,Disagree,Agree,Agree,Neither Agree Nor Disagree,Don't Know,Disagree,,Don't Know,Agree,Don't Know,Don't Know,Don't Know,,Don't Know,Agree,Don't Know,Don't Know,,Don't Know,Agree,Don't Know,Don't Know,,Disagree,Agree,Strongly Agree,Don't Know,Don't Know,Agree,Don't Know,Agree,Neither Agree Nor Disagree
